제목,내용,날짜,추천수,조회수
"쌍용차, 차세대 SUV KR10 디자인 스케치 선보여","(서울=연합뉴스) 장하나 기자 = 쌍용차가 26일 차세대 스포츠유틸리티차(SUV)인 KR10(프로젝트명)의 디자인 스케치를 선보였다.
 
쌍용차, KR10 디자인 공개(서울=연..",07/27,16,5435
여름철 차량용 배터리 관리는…실내주차장 이용하고 전압 체크,"외부 기온에 따라 배터리 내부에서 이상 화학반응 발생할 수 있어
3년 이내·주행거리 5만여㎞마다 교체 필요
 
한국타이어 티스테이션 배터리 안전점검[한국타이어 제공. 재판매 ..",07/27,0,905
차량 전면 창이 진화한다…헤드업 디스플레이 특허출원 활발,"2011년 27건서 작년 102건으로 ↑
 
현대자동차 제네시스 G80 시연 hud. 출처 현대자동차[특허청 제공. 재판매 및 DB 금지]
 
(대전=연합뉴스) 유..",07/27,0,1006
"르노삼성차 QM6 LPG 모델, 출시 2년여만에 누적 출고 6만대 달성","(서울=연합뉴스) 장하나 기자 = 르노삼성차는 국내 유일의 LPG 스포츠유틸리티차(SUV)인 QM6 LPe가 출시 2년여만에 누적 출고 6만대를 달성했다고 25일 밝혔다.
 
..",07/27,6,1319
신형 아반떼 누적 판매 40만대 눈앞…고성능 N으로 판매 가속,"준중형차 시장 위축으로 주춤했다가 작년 4월 신형 출시로 반등 나서아반떼 N에 해외 호평 잇따라…""일본·유럽 동급 고성능차 압도할 것""
(서울=연합뉴스) 장하나 기자 = 현대차의 대표 모..",07/27,0,668
"국토부, 생활물류법 시행…‘택배 종사자 법적 보호 수단 마련’","택배업-화물업 분리, 택배기사 보호 근거 마련택배기사 분류작업 제외 등 표준계약서 신설
 

국토부는 지난 1월 제정된 생활물류법을 오는 27일부터 시행된다고 밝혔다.지난 1..",07/27,0,279
"포스코인터, 전기차 핵심 `구동모터코아` 해외 생산거점 확대","중국 '포스코코아' 유상증자에 참여해 최대 주주로
 
중국 포스코코어 전경[포스코인터내셔널 제공·재판매 및 DB 금지]
 
(서울=연합뉴스) 조재영 기자 = 포스코..",07/27,0,244
車업계 임단협 조기타결 가능할까…잠정합의안 찬반투표 향방은,"현대차 오늘 잠정합의안 찬반투표…성과급 인상 요구 '여전'한국GM 26∼27일 투표 진행…오늘 오후 중 결과 나올 듯
 
현대차 노조[연합뉴스 자료사진]
 
(서울..",07/27,0,218
`미래차 인력양성·내연차 직무전환` 지원체계 마련 착수,"자동차 ISC 출범…자동차 산업 구조 재편에 대응
 

 자동차 산업 구조 재편(CG)[연합뉴스TV 제공]
 
(서울=연합뉴스) 이영재 기자 = 자동차 산업이 전..",07/27,0,197
속초 수소충전소 내달부터 상업 운전…설악권 차주 불편해소,"(속초=연합뉴스) 이종건 기자 = 강원 속초시 장사동에 설치된 수소충전소가 다음 달부터 상업 운전에 들어간다.
 

 수소 충전소[연합뉴스 TV 제공]
 
26일..",07/27,0,268
수소드론부터 보트까지…2021수소모빌리티+쇼에 140개 기업 참여,"2020 수소모빌리티+쇼에 전시된 현대차 수소전기차 '넥쏘'[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 = 9월 열리는 '2021 수소모빌리티+쇼'에서 국내외 ..",07/27,0,301
덤프·믹서 등 건설용트럭 3종 ‘신규등록 제한’ 2년 더 연장,"국토부 수급조절위 “당분간 건설기계 수급에 문제없어”건설기계 노후화 예방…교체등록은 3년 이내 연식 허용
 

 
국토교통부는 오는 2023년 7월까지 덤프트럭, ..",07/27,0,318
강남 무역센터에 국내 최대 전기차 급속충전소 문 열어,"동시에 23대 충전 가능…연말까지 53대로 확대
 
무역센터, 국내 최대 규모 전기차 급속충전소 오픈[무역센터 제공·재판매 및 DB 금지]
 
(서울=연합뉴스) 조..",07/27,0,282
보쉬가 인정한 삼성전기…`글로벌 우수 공급업체상` 받아,"삼성전기[삼성전기 홈페이지 캡처. 재판매 및 DB 금지]
 
(서울=연합뉴스) 김철선 기자 = 삼성전기는 세계 최대 자동차 부품기업 독일 보쉬로부터 기술력을 인정받..",07/27,0,241
고전하는 `르쌍쉐`…올 상반기 생산·판매 외환위기 이후 최악,"1∼6월 약 24만대 생산·9만대 판매…23년만 최소
 
외국계 완성차 3사(CG)[연합뉴스TV 제공]
 
(서울=연합뉴스) 권희원 기자 = 외국계 완성차 3사(르..",07/27,0,337
"현대차그룹, 전기차 배터리 재사용 시스템 안전성 높인다","글로벌 안전인증 기업 UL과 업무 협약…북미 실증 사업 등에 협력
(서울=연합뉴스) 장하나 기자 = 현대차그룹이 전기차 배터리 재사용 에너지 저장 장치(SLBESS)의 안전성을 강화하기 ..",07/27,0,204
"기아 EV6 자신감…""현대차 아이오닉5·테슬라 모델Y보다 우위""","견인능력 ID.4·모델3보다 뛰어나…연말까지 3만여대 생산 계획
 
기아 EV6 실차 공개(서울=연합뉴스) 이정훈 기자 = 2일 서울 성동구 코사이어티에서 열린 기아 'EV6 ..",07/23,6,8140
"폭스바겐, 신형 티구안 이달말 인도 시작…3천802만원부터","신형 티구안[폭스바겐코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 폭스바겐코리아는 SUV(스포츠유틸리티차) 신형 티구안을 이달 말부터 인도한다고..",07/23,1,4263
현대차 이어 한국GM도 임금협상 잠정합의…기본급 3만원 인상,"일시·격려금 450만원 지급키로…노조, 찬반투표 진행 예정
 
한국GM 노사협상 (PG)[장현경 제작] 일러스트
 
(서울·인천=연합뉴스) 장하나 홍현기 기자 = ..",07/23,2,877
"반도체 위기에도 신기록 쓴 현대차·기아…""아직 낙관 이르다""","중국 시장 여전히 부진…반도체 품귀 3분기도 지속
(서울=연합뉴스) 장하나 권희원 기자 = 현대차와 기아가 '반도체 보릿고개'로 여겨졌던 올해 2분기에 나란히 사상 최대 실적을 새로 쓰는..",07/23,0,489
현대모비스 2분기 매출 10조 돌파…전동화 매출은 역대 최대,"영업익 5천636억원으로 전년比 234% 증가…전동화 매출 4개 분기 연속 1조올해 수주목표 28억7천900만달러 달성에 박차…주당 1천원 분기 배당 실시키로
(서울=연합뉴스) 장하나 기..",07/23,0,319
"울산시-한국전자통신연구원, 미래차 부품 개발 지원 협약","울산시청[연합뉴스 자료사진]
 
(울산=연합뉴스) 김근주 기자 = 울산시와 한국전자통신연구원(ETRI)은 23일 시청에서 '지능형 전력구동 핵심부품 지원 기반구축 업무협약'..",07/23,0,214
"정몽구 명예회장, 한국인 최초로 `자동차 명예의 전당` 올랐다","정의선 회장 헌액식 대신 참석…""아버지는 평생 자동차 사랑한 분""
(서울=연합뉴스) 장하나 기자 = 정몽구 현대차그룹 명예회장이 세계 자동차산업에서 최고 권위를 가진 '자동차 명예의 전당..",07/23,0,596
"현대위아, 지속가능성보고서 발간…""친환경차 부품 개발 속도""","현대위아 2021 지속가능성보고서 발간[현대위아 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 현대위아는 ESG(환경·사회·지배구조) 경영 성과와 향후..",07/23,0,300
"쌍용차 ""유력 인수후보자 HAAH, 쌍용차 인수 위해 새 회사 설립""","""중국 사업 청산하고 쌍용차 사업 전념 의지 전해""…인수전 참여는 지켜봐야
(서울=연합뉴스) 장하나 기자 = 쌍용차의 유력 인수 후보자였던 HAAH오토모티브가 중국 사업을 접는 대신 새 ..",07/22,1,2844
"폭스바겐, 가격 낮춰 수입차 진입장벽 허문다…티구안 3천만원대","첫 전기차 ID.4 내년 상반기 국내 출시…수입차 대중화 가속화
 
슈테판 크랍 폭스바겐코리아 사장과 신형 티구안[폭스바겐코리아 제공. DB 및 재판매 금지]
 
..",07/22,4,2908
"삼표, 국내 첫 3㎥ 믹서트럭 도입...소규모 현장 투입","3㎥ 주택 밀집지역, 9㎥ 대형 건설 프로젝트 맞춤현장 및 수요 맞춤형 서비스로 비용 효율화 기대
 
삼표산업이 국내 최초로 도입하는 3㎥ 믹서트럭의 모습. 이 차량은 기존 6..",07/22,0,2411
"기아, `누적 50만대` 셀토스 2022년형 출시…1천944만원부터","(서울=연합뉴스) 장하나 기자 = 기아는 대표 소형 스포츠유틸리티차(SUV) 셀토스의 연식 변경 모델 '더 2022 셀토스'를 출시하고 본격적인 판매에 돌입했다고 22일 밝혔다.
&nbs..",07/22,0,1502
"화물운송시장 ‘팩트 체크’② 개정된 안전운임제, 일부 구간운임 낮아진다?","숫자로 보는 화물운송시장 ‘팩트 체크’②개정된 안전운임제, 일부 구간운임 낮아진다? 
 
운송구간 단위 ‘시·군·구’→‘읍·면·동’ 세분화지난해와 동일구간 운행해도 일부지역 운..",07/22,0,342
"화물운송시장 ‘팩트 체크’① 1톤 전기트럭 연료비, 경유보다 비싸진다?","숫자로 보는 화물운송시장 ‘팩트 체크’①1톤 전기트럭 연료비, 경유보다 비싸진다?
7월부터 전기차 충전요금 15~21% 인상100kW 급속충전 기준 1kWh 당 309원 변경1톤 전기트럭..",07/22,0,981
"벤츠코리아, 능률협회 만족도 조사에서 수입차판매점 부문 1위","신설 중고차 부문에서도 1위
 
벤츠코리아 KSQI 1위[메르세데스-벤츠코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 메르세데스-벤츠코..",07/22,1,273
풀리지 않는 반도체 수급난…기아 EV6 출시도 늦어지나,"이달 출시 불투명…전기차 보조금 소진 우려기존 모델도 출고 적체 심각해 신모델 출시 '부담'
 
기아 EV6[기아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스..",07/22,0,548
"쉐보레 트레일블레이저, 6월 수출 1위…출시 이후 처음","상반기 누적 수출량은 코나 1위·트레일블레이저 2위
 
쉐보레 트레일블레이저[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 = 쉐보레 트레일블레이저가 지난달..",07/21,8,2163
"LG전자 ""2030년까지 모든 업무용 차량 무공해차로 전환""","지속가능경영보고서 발간
(서울=연합뉴스) 김철선 기자 = LG전자가 업무용 차량을 2030년까지 전부 전기차, 수소차 등 무공해 차량으로 전환하기로 했다.
 
LG전자는 21..",07/21,0,427
"집에서 음성명령으로 차 에어컨 켜고, 차에서 집 조명 끄고","현대건설 '홈투카·카투홈' 서비스 하반기 도입
(서울=연합뉴스) 김동규 기자 = 현대건설은 현대차그룹과 함께 빌트인 음성인식 기기를 이용한 '홈투카'(Home to Car)·'카투홈'(C..",07/21,0,390
"""코로나19 장기화 속 위안"" 울산지역, 현대차 잠정합의 환영","울산상의 ""조합원 투표, 좋은 결과 나오길"", 상인 ""상권 숨통 틔우길""
 
(울산=연합뉴스) 현대자동차 노사가 지난 5월 26일 울산공장 본관 동행룸에서 2021년 임금 및 ..",07/21,0,374
현대차 무분규 잠정 합의한 날…기아 노조는 교섭 결렬 선언,"기아노조, 28일 쟁의행위 찬반투표
(서울=연합뉴스) 장하나 기자 = 현대차 노사가 3년 연속 파업 없이 임금·단체협약에 잠정 합의한 반면 같은 계열사인 기아 노조는 사측에 교섭 결렬을 ..",07/21,0,487
뇌파로 운전자 컨디션 파악한다…현대모비스 신기술 개발,"올해부터 경기도 공공버스에 시범 적용…""졸음운전·부주의 사고 예방""
(서울=연합뉴스) 장하나 기자 = 현대모비스가 뇌파를 측정해 운전자의 컨디션을 확인할 수 있는 자율주행 신기술 개발에 ..",07/21,1,219
부산시 전기이륜차 최대 330만원 구매보조금…638대 혜택,"전기 오토바이[연합뉴스 자료사진]
 
(부산=연합뉴스) 김선호 기자 = 부산시는 고농도 미세먼지를 줄이는 2021년 전기이륜차 구매보조금 지원사업을 확대 추진한다고 21일 ..",07/21,0,532
니로 EV 후퇴등 제작결함…닛산·기아 등 4개사 4만8천여대 리콜,"자동차 리콜(일러스트)제작 김민준
 
(서울=연합뉴스) 김기훈 기자 = 국토교통부는 한국닛산, 기아, 비엠더블유코리아, 포르쉐코리아에서 수입 또는 제작·판매한 총 15개 차..",07/21,0,384
"서울시, 하반기 전기상용차 약 800대 추가 보급","전기화물차 495대...오는 8월 4일부터 접수전기버스 289대...서울시 별도 계획따라 보급
 
(좌측부터) 현대자동차의 1톤 전기트럭 포터2 일렉트릭, 기아의 봉고3 EV...",07/21,0,268
덤프·믹서트럭 수요회복 기대감↑… 2015년과 ‘판박이?’,"건설기업경기지수 19년만에 최대치 기록2015년 7월 101.3p 이후 100p 첫 상회덤프, 하락 멈추고 5월까지 전년비 42.4%↑믹서, 덤프 후행해 내년 판매 기대감 상승건설기계 수급..",07/21,0,315
하반기 ‘키워드’는 더욱 강화된 화물차 ‘안전기준’,[이슈점검] 재도약의 2021년② 하반기중대형트럭에 자동가변축 시스템 의무화3톤급 준중형트럭 신차도 첨단안전장치 필수고압가스 등 위험물 운반차량 자격요건 신설하반기에도 이스즈·만트럭버스 등..,07/21,0,349
상반기 제도·신모델 봇물…‘코로나 탈출구’가 보인다,"[이슈점검] 재도약의 2021년① 상반기코로나19 악재 속 재도약 준비 마친 상반기상용차 시장, 국고보조사업 규모 첫 1조 돌파완성차 업체 총 출동…신형 모델 대거 출시‘불씨 살린’ 상반기..",07/21,0,471
기아 대표 SUV 신형 스포티지 출시…사전계약 열흘간 2만2천여대,"1.6 터보 하이브리드 등 3개 파워트레인…가격은 2천442만원부터
(서울=연합뉴스) 장하나 기자 = 기아가 20일 대표 베스트셀링 모델인 준중형 스포츠유틸리티차(SUV) 신형 스포티지를..",07/20,1,3254
"영업용 자율주행차, 10월부터 서울 상암 달릴 수 있다","서울시, 자율주행버스 등 사업자 모집
 
자율주행차[서울시 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 김지헌 기자 = 이르면 10월부터 서울 마포구 상암동..",07/20,2,849
현대차 알카자르 인도 출시 한달만에 1만1천대 예약 `돌풍`,"지난달 인도 판매 5만4천대…전년 대비 2배
  
알카자르[현대차 인도 법인 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 현대차가 인도 시장..",07/20,1,1464
신축 아닌 아파트도 전기차 충전기 일정 비율 설치해야,"개정 친환경차법 내년 시행…렌터카·대기업, 친환경차 의무 구매
 
아파트 주차장 전기차 충전기[연합뉴스 자료사진]
 
(서울=연합뉴스) 윤보람 기자 = 내년부터 신..",07/20,0,705
쌍용차 새 주인 찾기 향방은…유력투자자 美 HAAH는 파산 신청,"이달 말 마감인데 아직 인수의향서 제출 1곳도 없어이스타항공 성공한 '스토킹 호스' 추진 가능성도
(서울=연합뉴스) 장하나 기자 = 쌍용차의 유력 투자자였던 HAAH오토모티브가 조만간 파..",07/20,1,512
현대차 노조 내부 반발로 교섭장 봉쇄…임단협 일시 중단,"마주 앉은 현대차 노사 교섭 대표들[현대차 노조 제공. 재판매 및 DB 금지]
 
(울산=연합뉴스) 김근주 기자 = 현대자동차 노사 올해 임금 및 단체협약 교섭이 노조 내부..",07/20,0,303
"만도, 자율주행 사업부문 물적분할…신설법인 9월 출범","임시주총서 물적분할 계획 승인…""자율주행·EV솔루션 전문성 강화""
 
 
만도 로고[만도 제공]
 
(서울=연합뉴스) 권희원 기자 = 한라그룹 계열사 만..",07/20,0,212
"서울시 전기차 보조금, 하반기엔 200만원 줄어든다","""국산 전기차 판매 저조 방지""…1만1천대 보조금 지원
 
전기차(CG)[연합뉴스TV 제공]
 
(서울=연합뉴스) 김지헌 기자 = 서울시는 올해 하반기 전기차 보급..",07/20,0,284
부산 자동차 산업 호조…상반기 6개월 연속 수출 증가,"수출 전년 대비 29%↑…무역 수지는 적자
 
수출 상승 (CG)[연합뉴스TV 제공]
 
(부산=연합뉴스) 조정호 기자 = 올해 상반기 부산지역 수출이 자동차 산업..",07/20,0,139
"현대차, 비트라 뮤지엄과 협업…""예술작품 통해 로봇 기술 전시""","'헬로 로봇, 인간과 기계 그리고 디자인' 포스터[현대자동차 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 현대자동차가 독일 비트라 디자인 뮤지엄..",07/20,0,149
코로나 감염 우려에 이른 폭염까지…악전고투하는 산업현장,"야외 작업 많은 조선·건설·철강·정유 등 직원 건강 관리 비상아이스조끼 등 보냉품 지급에 보양식도 제공…코로나로 현장 멈출까 걱정도
(서울=연합뉴스) 산업팀 = 짧은 장마가 지나가고 무더..",07/20,0,252
車업계 임단협 분수령…현대차 `협상난항`·한국GM `파업권확보`,"현대차 노조, 사측 임금 인상안 거부…정년연장 입장차 여전파업 위기감 커진 한국GM, 부평2공장 미래계획 등 놓고 노사 대립 '팽팽'
 
현대차 노사 상견례[연합뉴스 자료사진]..",07/20,0,160
"관광객 울리는 `고무줄` 렌터카 요금 잡힐까…제주도, 집중점검","요금 변동성 자정 노력 촉구·타 시도 등록차 영업 단속
(제주=연합뉴스) 고성식 기자 = 같은 차종도 가격이 서로 다르고 시시각각 가격이 큰 폭으로 변동되는 '고무줄' 렌터카 이용요금에 ..",07/20,0,418
"서울시, 콘센트형 전기차 충전기 7천기 설치비 지원","전기차 충전[연합뉴스TV 캡처]
 
(서울=연합뉴스) 김지헌 기자 = 서울시는 설치할 부지가 필요 없는 콘센트형 전기차 충전기 7천기를 보급한다고 19일 밝혔다.
&nbs..",07/19,3,1983
하이브리드 SUV 인기에…현대차·기아 친환경차 수출 45%↑,"1∼5월 하이브리드 SUV 수출 작년보다 89.3% 늘어전기차 수출은 23.1% 증가
 
쏘렌토 하이브리드[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 =..",07/19,0,855
국내외에서 잇따르는 전기차 화재…소비자들 `불안불안`,"현대차·GM·테슬라 전기차에서 화재…진화 어렵고 원인도 불투명
 
대구서 달리던 전기 화물차에 연기(대구=연합뉴스) 14일 오전 9시 27분께 대구 북구 사수로를 달리던 1t ..",07/19,2,662
"현대차·기아, 상반기 유럽시장 점유율 BMW 제치고 4위","상반기 점유율 7.6%…전기차 판매 94.6% 늘어6월 점유율은 8.2%…2개월 연속 8%대
 
현대차 투싼[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 ..",07/19,1,531
"한국GM 노조 쟁의권 확보…중노위, 조정중지 결정","한국지엠 노조[연합뉴스TV 제공. 재판매 및 DB 금지]
 
(인천=연합뉴스) 홍현기 기자 = 한국지엠(GM) 노조가 합법적으로 파업 등 쟁의행위를 할 수 있는 쟁의권을 확..",07/19,0,234
"현대차, 美 브랜드 충성도 조사서 7위…작년보다 한단계 상승","기아는 작년과 같은 6위…스바루·렉서스 3년 연속 1위
(서울=연합뉴스) 장하나 기자 = 현대차가 미국 시장조사업체 제이디파워(J.D. Power)의 '2021 자동차 브랜드 충성도 조사..",07/19,1,366
자동차업계 임단협 이번주 분수령…현대차 교섭 `난항`,"현대차 노조, 사측 임금 인상안 거부…정년연장 입장차 여전한국GM, 금명간 중노위 조정결과 나올 듯
 
현대차 노사 상견례[연합뉴스 자료사진]
 
(서울=연합뉴..",07/19,0,207
실내외 세차·필터 청결…쉐보레가 제안하는 자동차 방역 `꿀팁`,(서울=연합뉴스) 장하나 기자 = 신종 코로나바이러스 감염증(코로나19) 4차 유행이 본격화한 가운데 공공시설 이용에 대한 불안감으로 자가용 이용이 빈번해지며 차량 내 위생관리에 대한 필요..,07/19,0,278
"현대차그룹 캠페인 영상, 뉴욕 페스티벌서 2개 부문 수상","(서울=연합뉴스) 장하나 기자 = 현대차그룹은 세계 3대 광고제 중 하나인 미국 뉴욕 페스티벌 광고 어워드에서 은상과 동상을 수상했다고 19일 밝혔다.
 
현대차그룹 캠페인 영..",07/19,1,245
"""우리나라 미래차 전환 대응역량 부족…인력 양성 힘써야""","한국자동차연구원 보고서
 
미래차(CG)[연합뉴스TV 제공]
 
(서울=연합뉴스) 권희원 기자 = 전 세계 자동차 산업의 구조가 미래차 중심으로 재편되고 있지만 우..",07/19,0,183
"SK이노베이션, 헝가리 배터리 2공장 9천만유로 지원금 받는다","(서울=연합뉴스) 서미숙 기자 = SK이노베이션은 헝가리 정부로부터 9천만유로(한화 약 1천209억원) 규모의 배터리 공장 건설 지원금을 받는다고 18일 밝혔다.
 
SK이노베..",07/19,0,212
"현대차·기아, 중국 상반기 판매량 10.8%↓…부진 여전","코로나19 이전인 2019년 대비 40.2% 감소…대부분 모델 고전조직 개편으로 분위기 반전 꾀해…""2030년 21개 전동화 라인업 완비""
(서울=연합뉴스) 장하나 기자 = 현대차와 기아..",07/19,0,260
"르노삼성차, 19∼20일 부산공장 셧다운…반도체 부족으로는 처음","XM3 수출 물량 확보에 '올인'…21일부터 임단협 교섭도 재개될 듯
 
르노삼성차 부산공장[연합뉴스 자료사진]
 
(서울=연합뉴스) 장하나 기자 = 전 세계적으로..",07/19,0,203
기아 스포티지 하이브리드 사전계약 시작…3천109만원부터,"(서울=연합뉴스) 장하나 기자 = 기아는 전국 기아 판매 지점과 대리점에서 신형 스포티지 하이브리드 모델의 사전계약을 시작한다고 16일 밝혔다.
 
기아 신형 스포티지[기아 제..",07/16,0,4352
"아이오닉 5에 영감 준 포니쿠페, 배틀그라운드에서 부활한다","현대차, 배그서 국내 첫 콘셉트카 영상 선보여…24일 현대차 배그대잔치도
(서울=연합뉴스) 장하나 기자 = 국내 첫 콘셉트카인 현대차 포니쿠페가 인기 게임 '플레이어언노운스 배틀그라운드'..",07/16,2,2484
한국GM 부평공장 구조조정 불안감…생산물량 배정 없어,"부평 근로자 창원에 '전환배치' 검토 소식까지…노조는 계속 압박
 
한국지엠 부평2조립공장[연합뉴스TV 제공. 재판매 및 DB 금지]
 
(인천=연합뉴스) 홍현기 ..",07/16,2,1523
반도체 품귀로 새 차 인수 늦어지자 20대 61% 다른 차 샀다,"65세 이상은 31%만 구입차량 변경GfK 오토모빌리티 연구…""반도체 품귀, 젊은 소비자에 더 큰 영향 미쳐""
(서울=연합뉴스) 장하나 기자 = 전 세계적인 차량용 반도체 품귀 현상으로 ..",07/16,0,1042
"정의선, 한달 만에 다시 미국行…미래 모빌리티 투자 속","방미 후 도쿄올림픽 찾아 양궁 선수단 격려 예정
(서울=연합뉴스) 장하나 기자 = 정의선 현대차그룹 회장이 한 달 만에 또다시 미국 출장길에 올랐다. 미국 투자 계획과 판매 전략을 점검하..",07/16,0,317
"BMW, 무협과 손잡고 국내 유망 스타트업 발굴 나선다","경기혁신센터·퓨처플레이와 MOU…BMW 테스트베드 프로젝트 추진
(서울=연합뉴스) 장하나 기자 = BMW 그룹 코리아가 한국무역협회, 경기창조경제혁신센터, 퓨처플레이와 국내 유망 스타트업..",07/16,0,268
"차 안에서 편의점 주문까지…르노삼성, XM3에 CU 이용기능 추가","르노삼성 XM3, CU 편의점 서비스 기능 추가[르노삼성자동차 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 르노삼성차는 차 안에서 편의점 상품을 주문..",07/16,0,582
"국내 완성차업계, 여름 휴가철 맞아 자동차 무상점검 서비스","19∼23일 각 직영·협력 서비스센터 2천208곳에서
(서울=연합뉴스) 장하나 기자 = 한국자동차산업협회는 여름 휴가철을 맞아 국내 자동차 제작사와 함께 자동차 무상점검 서비스를 한다고 ..",07/16,0,339
"폭스바겐, 신형 티구안 다음주 출시…""SUV 명가 거듭날 것""","소형 SUV 티록도 '인기'…6월 수입 베스트셀링 모델 올라
 

폭스바겐, 신형 티구안 다음주 출시[폭스바겐코리아 제공. 재판매 및 DB 금지]
 
(서울=연합..",07/15,1,4511
E-GMP 고성능 전기차·스타리아 수소차…`티징`으로 눈치챘다,"아반떼 N 첫 공개 영상에서 수소+전동화 경주차로 내구레이스 출전 암시스타리아도 수소충전소 앞 장면으로 수소전기차 출시 예고
(서울=연합뉴스) 장하나 기자 = ""E-GMP를 기반으로 한 ..",07/15,3,1518
"""1회 충전에 300㎞밖에 못간다니""…벤츠 EQA 예약자들 `고민`","보조금도 600만원대 그쳐…일부 소비자 '예약 취소'""전기차는 브랜드보다 가성비 중시…명품 제작사 고민 깊어질 것""
 
벤츠 더 뉴 EQA[벤츠코리아 제공. 재판매 및 DB 금..",07/15,2,2165
"현대차 노사, 교섭 재개…노조 ""이번 주가 휴가 전 마지노선""","마주 앉은 현대차 노사 교섭 대표들[현대차 노조 제공. 재판매 및 DB 금지]
 
(울산=연합뉴스) 김근주 기자 = 현대자동차 노사가 14일 올해 임금 및 단체협약 교섭을..",07/15,0,478
대구서 달리던 전기 화물차에 연기…700만원 재산피해,"(대구=연합뉴스) 한무선 기자 = 대구에서 주행 중인 전기 화물차에서 연기가 나 운전자가 급히 대피하는 일이 벌어졌다.
 
전기 화물차 연기 진압[대구소방안전본부 제공. 재판매..",07/15,2,823
"""배터리 용량 2.6배 늘리는 전처리 용액 개발""","KIST 연구팀 ""전기자동차 주행 거리 향상에 활용 가능""
 
""리튬 배터리 용량 2.6배 늘리는 전처리 용액 개발""(서울=연합뉴스) KIST 연구진이 개발한 전처리 용액을 적..",07/15,3,901
전기차 공공급속충전기 고장시 7일 내 수리…수리현황 매일 공개,"차상위계층·소상공인에 전기차 1대당 최대 10만 포인트 지급…충전요금 할인
 
환경부 전기차 급속충전기 요금 인상 예정[연합뉴스 자료사진]
 
(서울=연합뉴스) 김..",07/15,0,251
EU가 높인 `탄소 장벽`…철강·車 등 국내 산업에 직격탄,"탄소국경세로 철강 수출감소 우려…車업계는 전동화 가속
 
유럽연합(EU) 탄소국경세 부과 (PG)[홍소영 제작] 일러스트
 
(서울=연합뉴스) 산업팀 = 세계 첫 ..",07/15,2,252
상반기 車수출액 7년 만에 최대…친환경차 50억달러 돌파,"친환경차 내수·수출 반기 기준 최고 실적
 
자동차 수출 증가(PG)[이태호 제작] 사진합성·일러스트
 
(서울=연합뉴스) 윤보람 기자 = 차량용 반도체 수급 부족..",07/15,0,206
가짜 업체 차려 렌터카 재임대…수억원 챙긴 사기범 입건,"광주 광산경찰서 사전구속영장 신청, 일부 차량 '행방불명'
 
렌터카 (PG)[권도윤 제작] 사진합성·일러스트
 
(광주=연합뉴스) 정회성 기자 = 렌터카를 무단으..",07/15,0,523
"만트럭버스, 그린테크 페스티벌 참여…전기버스·트럭 소개","세계에서 가장 큰 친환경 행사서 라이온스 시티 E, eTGM 전시
 
 

그린테크 페스티벌에 참가한 MAN eTGM의 모습.만트럭버스는 지난달 독일 베를린에서 개..",07/15,0,252
"계약 부당해지로 대리점 울린 한국GM…공정위, 약관 시정권고","한국지엠[연합뉴스TV 제공]
 
(세종=연합뉴스) 이보배 기자 = 한국GM이 불공정한 계약을 통해 자동차 판매 대리점들에 부당한 해지 통보를 한 것으로 나타났다.
&nbs..",07/15,0,264
일상·서킷 아우른다…현대차 국내 첫 고성능세단 아반떼 N 공개,"최고속도 시속 250㎞·제로백 5.3초…가격은 3천212만원부터코나 N·투싼 N 라인 동시 출시…브랜드 체험관 'N 시티 서울'도
(서울=연합뉴스) 장하나 기자 = 현대차의 고성능 브랜드..",07/14,3,2560
풀체인지 없이 버틴 메가트럭의 18년 역사,"메가트럭은 출시 이후 단 한 번의 풀체인지 없이 꾸준한 인기를 유지했다. 부분변경과 엔진교체, 상품성 개선 등 지난 18년간의 메가트럭 연대기를 살펴봤다.
 
..",07/14,4,3051
"BMW그룹 ""순수 전기차 위한 5세대 e드라이브 시스템 생산 돌입""","(서울=연합뉴스) 장하나 기자 = BMW 그룹이 독일 딩골핑 공장에서 순수전기 모델 iX와 i4에 탑재될 5세대 BMW e드라이브 시스템 생산에 돌입했다고 14일 밝혔다.
 
..",07/14,0,738
"""생산해도 수출할 배가 없어서""…한국타이어 또 3일간 공장 중단","한국타이어 금산공장[한국타이어앤테크놀로지 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 한국타이어앤테크놀로지는 선복(선박 적재 용량) 부족에 따른 생산..",07/14,0,645
